"year","month","day","week","death","temp"
2000,1,1,1462,55,7.56380615234377
2000,1,2,1462,52,7.77089843750002
2000,1,3,1463,63,7.11336669921877
2000,1,4,1463,66,7.9018493652344
2000,1,5,1463,73,7.6002136230469
2000,1,6,1463,54,7.62676391601565
2000,1,7,1463,64,4.58196411132815
2000,1,8,1463,55,7.4475036621094
2000,1,9,1463,56,4.25350341796877
2000,1,10,1464,53,0.850854492187523
2000,1,11,1464,54,-0.784307861328102
2000,1,12,1464,62,-0.220434570312477
2000,1,13,1464,68,1.0323425292969
2000,1,14,1464,76,2.03582153320315
2000,1,15,1464,58,2.03496704101565
2000,1,16,1464,43,1.75893554687502
2000,1,17,1465,72,4.6487976074219
2000,1,18,1465,69,6.15206298828127
2000,1,19,1465,58,4.16353759765627
2000,1,20,1465,69,1.96944580078127
2000,1,21,1465,50,3.71853027343752
2000,1,22,1465,63,4.12883911132815
2000,1,23,1465,49,3.10183105468752
2000,1,24,1466,64,-0.960485839843727
2000,1,25,1466,54,-2.9409240722656
2000,1,26,1466,49,-3.47794189453123
2000,1,27,1466,61,-2.31400146484373
2000,1,28,1466,63,0.851983642578148
2000,1,29,1466,54,8.17171630859377
2000,1,30,1466,44,10.172998046875
2000,1,31,1467,49,9.3120056152344
2000,2,1,1467,50,8.09792480468752
2000,2,2,1467,57,6.31960449218752
2000,2,3,1467,56,4.21102294921877
2000,2,4,1467,63,4.93276367187502
2000,2,5,1467,45,5.79586181640627
2000,2,6,1467,50,6.91768798828127
2000,2,7,1468,64,8.1221862792969
2000,2,8,1468,51,10.215966796875
2000,2,9,1468,55,7.01397094726565
2000,2,10,1468,44,5.75350341796877
2000,2,11,1468,49,2.8026062011719
2000,2,12,1468,54,4.73455200195315
2000,2,13,1468,45,8.8260437011719
2000,2,14,1469,44,8.05166015625002
2000,2,15,1469,55,8.69259033203127
2000,2,16,1469,50,4.4778991699219
2000,2,17,1469,52,4.1617370605469
2000,2,18,1469,46,8.3522888183594
2000,2,19,1469,52,6.2835632324219
2000,2,20,1469,48,3.44997558593752
2000,2,21,1470,48,3.80324707031252
2000,2,22,1470,61,4.80648193359377
2000,2,23,1470,60,5.88924560546877
2000,2,24,1470,38,9.7430358886719
2000,2,25,1470,49,7.99215087890627
2000,2,26,1470,42,5.06475219726565
2000,2,27,1470,42,8.3463073730469
2000,2,28,1471,62,8.30422363281252
